Site-longitude,Site-latitude,Sample name,"weight (g, with bag)",Site,Site number,Position,depth top,depth bottom,replicate,Sample name isotopes,d18O,Stdev d18O,d2H,Stdev d2H,comment,,
-3.27938,-75.55715,D4_R_7_3,50.1,D,4,70,0.33,0.67,,D4_R_7_3,-42.03,0.01,-331.8,0.03,,,
-3.27938,-75.55715,D4_R_7_6,30,D,4,70,0.67,1,,D4_R_7_6,-45.38,0.00,-357.2,0.04,,,
-3.27938,-75.55715,D4_R_8_0,66.9,D,4,80,0,0.33,,D4_R_8_0,-42.66,0.01,-334.2,0.04,,,
-3.27938,-75.55715,D4_R_8_3,49.8,D,4,80,0.33,0.67,,D4_R_8_3,-46.58,0.02,-367.2,0.04,,,
-3.27938,-75.55715,D4_R_8_6,32.5,D,4,80,0.67,1,,D4_R_8_6,-44.60,0.00,-351.1,0.05,,,
-3.27938,-75.55715,D4_R_9_0,64.6,D,4,90,0,0.33,,D4_R_9_0,-41.05,0.05,-322.1,0.59,,,
-3.27938,-75.55715,D4_R_9_3,50.1,D,4,90,0.33,0.67,,D4_R_9_3,-43.23,0.02,-340.6,0.06,,,
-3.27938,-75.55715,D4_R_9_6,43.7,D,4,90,0.67,1,,D4_R_9_6,-44.59,0.02,-349.6,0.05,,,
-3.3017,-75.50735,C5_R_6_0,,C,5,60,0,0.33,,C5_R_6_0,-43.67,0.02,-343.2,0.27,,,
-3.3017,-75.50735,C5_R_6_3,,C,5,60,0.3,0.67,,C5_R_6_3,-45.39,0.03,-357.8,0.19,,,
-3.3017,-75.50735,C5_R_6_6,,C,5,60,0.67,1,,C5_R_6_6,-45.91,0.05,-360.6,0.31,,,
-3.3017,-75.50735,C5_R_7_0,,C,5,70,0,0.33,,C5_R_7_0,-43.47,0.06,-340.5,0.12,,,
-3.3017,-75.50735,C5_R_7_3,,C,5,70,0.3,0.67,,C5_R_7_3,-45.44,0.03,-356.4,0.37,,,
-3.3017,-75.50735,C5_R_7_6,,C,5,70,0.67,1,,C5_R_7_6,-41.55,0.00,-325.6,0.11,,,
-3.3017,-75.50735,C5_R_8_0,,C,5,80,0,0.33,,C5_R_8_0,-41.53,0.04,-325.7,0.37,,,
-3.3017,-75.50735,C5_R_8_3,,C,5,80,0.3,0.67,,C5_R_8_3,-45.55,0.05,-358.3,0.43,,,
-3.3017,-75.50735,C5_R_8_6,,C,5,80,0.67,1,,C5_R_8_6,-42.73,0.04,-334.5,0.18,,,
-3.3017,-75.50735,C5_R_9_0,,C,5,90,0,0.33,,C5_R_9_0,-43.93,0.04,-344.9,0.27,,,
-3.3017,-75.50735,C5_R_9_3,,C,5,90,0.3,0.67,,C5_R_9_3,-39.75,0.02,-320.1,0.19,,,
-3.3017,-75.50735,C5_R_9_6,,C,5,90,0.67,1,,C5_R_9_6,-46.92,0.03,-369.8,0.18,,,
-3.2530,-75.52615,CD5_R_0_0,,CD,5,0,0,0.33,,CD5_R_0_0,-43.50,0.01,-340.2,0.10,,,
-3.2530,-75.52615,CD5_R_0_3,,CD,5,0,0.3,0.67,,CD5_R_0_3,-41.55,0.03,-327.2,0.07,,,
-3.2530,-75.52615,CD5_R_0_6,,CD,5,0,0.67,1,,CD5_R_0_6,-45.36,0.05,-355.8,0.36,,,
-3.2530,-75.52615,CD5_R_1_0,,CD,5,10,0,0.33,,CD5_R_1_0,-43.16,0.02,-340.1,0.08,,,
-3.2530,-75.52615,CD5_R_1_3,,CD,5,10,0.3,0.67,,CD5_R_1_3,-45.41,0.02,-356.5,0.21,,,
-3.2530,-75.52615,CD5_R_1_6,,CD,5,10,0.67,1,,CD5_R_1_6,-43.32,0.02,-340.7,0.12,,,
-3.2530,-75.52615,CD5_R_2_0,,CD,5,20,0,0.33,,CD5_R_2_0,-41.91,0.03,-329.2,0.31,,,
-3.2530,-75.52615,CD5_R_2_3,,CD,5,20,0.3,0.67,,CD5_R_2_3,-46.33,0.09,-362.6,0.77,,,
