Site-longitude,Site-latitude,Sample name,"weight (g, with bag)",Site,Site number,Position,depth top,depth bottom,replicate,Sample name isotopes,d18O,Stdev d18O,d2H,Stdev d2H,,
-2.09026,-75.35889,D20_M_10_1,32,D,20,0-90,0.9,1.2,1,D20_M_10_1,-44.37,0.09,-347.9,0.25,,
-2.09026,-75.35889,D20_M_0_2,51.9,D,20,0-90,0,0.3,2,D20_M_0_2N,-42.86,0.05,-336.1,0.47,,
-2.09026,-75.35889,D20_M_3_2,52.6,D,20,0-90,0.3,0.6,2,D20_M_3_2,-44.76,0.04,-350.8,0.26,,
-2.09026,-75.35889,D20_M_6_2,67.8,D,20,0-90,0.6,0.9,2,D20_M_6_2,-44.60,0.06,-350.6,0.47,,
-2.09026,-75.35889,D20_M_10_2,48.8,D,20,0-90,0.9,1.2,2,D20_M_10_2N,-44.56,0.07,-349.8,0.20,,
-1.65276,-75.28299,D26_M_0_1,35,D,26,0-90,0,0.3,1,D26_M_0_1,-44.45,0.02,-348.5,0.19,,
-1.65276,-75.28299,D26_M_3_1,58,D,26,0-90,0.3,0.6,1,D26_M_3_1,-44.48,0.00,-349.1,0.01,,
-1.65276,-75.28299,D26_M_6_1,56,D,26,0-90,0.6,0.9,1,D26_M_6_1,-44.34,0.00,-347.6,0.03,,
-1.65276,-75.28299,D26_M_10_1,65.7,D,26,0-90,0.9,1.2,1,D26_M_10_1,-43.47,0.06,-341.4,0.82,,
-1.65276,-75.28299,D26_M_0_2,6.5,D,26,0-90,0,0.3,2,D26_M_0_2,-44.37,0.08,-348.0,0.39,,
-1.65276,-75.28299,D26_M_3_2,51.4,D,26,0-90,0.3,0.6,2,D26_M_3_2,-44.31,0.01,-348.3,0.47,,
-1.65276,-75.28299,D26_M_6_2,63.8,D,26,0-90,0.6,0.9,2,D26_M_6_2,-44.50,0.06,-349.8,0.65,,
-1.65276,-75.28299,D26_M_10_2,68.3,D,26,0-90,0.9,1.2,2,D26_M_10_2,-43.54,0.07,-342.4,0.32,,
-1.36362,-75.23192,D30_M_0_1,94.4,D,30,0-90,0,0.3,1,D30_M_0_1,-44.38,0.00,-349.7,0.06,,
-1.36362,-75.23192,D30_M_3_1,77.1,D,30,0-90,0.3,0.6,1,D30_M_3_1,-44.47,0.01,-348.4,0.04,,
-1.36362,-75.23192,D30_M_6_1,94.5,D,30,0-90,0.6,0.9,1,D30_M_6_1,-46.29,0.01,-362.7,0.01,,
-1.36362,-75.23192,D30_M_10_1,88.4,D,30,0-90,0.9,1.2,1,D30_M_10_1,-44.97,0.01,-352.9,0.04,,
-1.36362,-75.23192,D30_M_0_2,70.1,D,30,0-90,0,0.3,2,D30_M_0_2,-44.12,0.07,-349.0,0.09,,
-1.36362,-75.23192,D30_M_3_2,71.1,D,30,0-90,0.3,0.6,2,D30_M_3_2,-44.30,0.05,-348.4,0.35,,
-1.36362,-75.23192,D30_M_6_2,85.8,D,30,0-90,0.6,0.9,2,D30_M_6_2,-45.97,0.08,-360.7,0.36,,
-1.36362,-75.23192,D30_M_10_2,80,D,30,0-90,0.9,1.2,2,D30_M_10_2,-44.87,0.07,-353.0,0.63,,
-1.07651,-75.18049,D34_M_0_1,51.5,D,34,0-90,0,0.3,1,D34_M_0_1,-42.97,0.01,-337.9,0.04,,
-1.07651,-75.18049,D34_M_3_1,62.8,D,34,0-90,0.3,0.6,1,D34_M_3_1,-43.91,0.01,-346.0,0.03,,
-1.07651,-75.18049,D34_M_6_1,89.5,D,34,0-90,0.6,0.9,1,D34_M_6_1,-45.00,0.01,-353.8,0.01,,
-1.07651,-75.18049,D34_M_10_1,80.5,D,34,0-90,0.9,1.2,1,D34_M_10_1,-44.45,0.00,-349.1,0.01,,
-1.07651,-75.18049,D34_M_0_2,55.5,D,34,0-90,0,0.3,2,D34_M_0_2,-42.76,0.09,-336.8,0.70,,
